record_type,source_name,canonical_name,unit,fixing_method,curve_underlying,fixing_price_underlying,fixing_price_basis,current_month_uses_next_curve,source_range
BOOK,CGA_SHT1,CGA_SHT1,,,,,,,SETUP!B3:C3
BOOK,CGA_AVB,CGA_AVB,,,,,,,SETUP!B4:C4
BOOK,CGTINDEX,CGTINDEX,,,,,,,SETUP!B5:C5
BOOK,CGA_TVB,CGA_TVB,,,,,,,SETUP!B6:C6
BOOK,CGA_FS,CGA_FS,,,,,,,SETUP!B7:C7
BOOK,CGTO,CGTO,,,,,,,SETUP!B8:C8
BOOK,PROP.TRADING,PROP.TRADING,,,,,,,SETUP!B9:C9
BOOK,PIRINEOS,PIRINEOS,,,,,,,SETUP!B10:C10
BOOK,CGC_BUNKER,CGC_BUNKER,,,,,,,SETUP!B11:C11
BOOK,PVB FLOW,PVB FLOW,,,,,,,SETUP!B12:C12
BOOK,BIOMETHANE,BIOMETHANE,,,,,,,SETUP!B13:C13
BOOK,COBERTURAS CLIENTES,COBERTURAS CLIENTES,,,,,,,SETUP!B14:C14
BOOK,CGA_GS,CGA_GS,,,,,,,SETUP!B15:C15
UNDERLYING,Brent Dated,Brent Dated,bbl,BRENT_HH,Brent Dated,Brent Dated,DELIVERY_DAY,TRUE,SETUP!G3:J3
UNDERLYING,HH,HH,MMBtu,BRENT_HH,HH,HH,DELIVERY_DAY,TRUE,SETUP!G4:J4
UNDERLYING,TTF DA,TTF DA,MWh,HEREN,TTF DA,TTF DA,FIXING_DATE,FALSE,SETUP!G5:J5
UNDERLYING,TTF MA,TTF MA,MWh,MONTH_AHEAD,TTF MA,TTF MA,FIXING_DATE,FALSE,SETUP!G6:J6
UNDERLYING,Index PVB,Index PVB,MWh,HEREN,Index PVB,Index PVB,FIXING_DATE,FALSE,SETUP!G7:J7
UNDERLYING,Phys PVB,Phys PVB,MWh,HEREN,Phys PVB,Phys PVB,FIXING_DATE,FALSE,SETUP!G8:J8
UNDERLYING,TVB,TVB,MWh,HEREN,TVB,TVB,FIXING_DATE,FALSE,SETUP!G9:J9
UNDERLYING,AVB,AVB,MWh,HEREN,AVB,AVB,FIXING_DATE,FALSE,SETUP!G10:J10
UNDERLYING,PEG,PEG,MWh,HEREN,PEG,PEG,FIXING_DATE,FALSE,SETUP!G11:J11
UNDERLYING,GWDES Auction,Index PVB,MWh,WITHINDAY,Index PVB,GWDES Auction,FIXING_DATE,FALSE,SETUP!M3:P3
UNDERLYING,D+1 Auction,Index PVB,MWh,DAY_AHEAD,Index PVB,D+1 Auction,FIXING_DATE,FALSE,SETUP!M4:P4
UNDERLYING,Mibgas Index ES,Index PVB,MWh,DAY_AHEAD,Index PVB,Mibgas Index ES,FIXING_DATE,FALSE,SETUP!M5:P5
UNDERLYING,MIBGAS D+1 Daily Reference,Index PVB,MWh,DAY_AHEAD,Index PVB,MIBGAS D+1 Daily Reference,FIXING_DATE,FALSE,SETUP!M6:P6
UNDERLYING,MIBGAS LPI,Index PVB,MWh,HEREN,Index PVB,MIBGAS LPI,FIXING_DATE,FALSE,SETUP!M7:P7
UNDERLYING,PVB Heren DA,Index PVB,MWh,HEREN,Index PVB,PVB Heren DA,FIXING_DATE,FALSE,SETUP!M8:P8
UNDERLYING,Mibgas API DA,Index PVB,MWh,HEREN,Index PVB,Mibgas API DA,FIXING_DATE,FALSE,SETUP!M9:P9
UNDERLYING,Mibgas MA,Index PVB,MWh,MONTH_AHEAD,Index PVB,Mibgas MA,FIXING_DATE,FALSE,SETUP!M10:P10
UNDERLYING,PVB Heren DA (Delivery),Index PVB,MWh,HEREN,Index PVB,PVB Heren DA (Delivery),DELIVERY_DAY,FALSE,SETUP!M11:P11
